release_candidate	srr	gse	species	platform	isoquant_cells	isoquant_transcripts_documented	isoquant_transcripts_registry	gene_counts_available	gene_counts_bytes	transcript_counts_available	transcript_counts_bytes	read_assignments_available	read_assignments_bytes	transcript_models_available	transcript_models_bytes	extended_annotation_available	extended_annotation_bytes	discovered_transcript_counts_available	discovered_transcript_counts_bytes	diu_available	diu_bytes	apa_available	apa_bytes	junction_available	junction_bytes	ase_available	ase_bytes	file_contract_status
scTHREAD_NAR_release_20260803	SRR27935477	GSE255520	mouse	ONT	6398	True	22581	True	826202	True	3026591	True	259167740	True	154430343	True	774055179	True	902239	False	0	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR27935479	GSE255520	mouse	ONT	2895	True	20017	True	824528	True	3024191	True	181176958	True	153481961	True	779920754	True	1052636	False	0	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR30166096	GSE274249	human	ONT	8736	True	61055	True	846869	True	4785310	True	1522210394	True	275326850	True	1360413012	True	1760314	True	1450790	True	6629954	True	29311391	True	395869	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR30166097	GSE274249	human	ONT	8776	True	33683	True	831096	True	4759427	True	261513965	True	180976942	True	1346231736	True	799654	True	609041	True	3282950	True	10961183	True	417559	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR30166098	GSE274249	human	ONT	8730	True	67069	True	849953	True	4791388	True	1900230297	True	291261838	True	1359772273	True	1788618	True	568498	True	5648877	True	29919266	True	657394	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR30166099	GSE274249	human	ONT	8731	True	34012	True	830874	True	4759734	True	250067318	True	176471695	True	1345711522	True	763813	True	255141	True	2254529	True	7828634	True	290771	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR30209150	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209151	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209152	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209153	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209154	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209155	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209156	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209158	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209159	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209160	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209162	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209163	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209164	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209165	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209166	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209167	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR30209169	GSE274527	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
