gene	n_donors	n_studies	n_donors_imbalanced	pooled_depth	pooled_ratio	study_baseline	pooled_deviation	pval	qval	sig_imbalanced	recurrent
CAD	21.0	9.0	11.0	3382.0	0.4692489651094027	0.4839332852771656	-0.014684320167762888	0.08748527615641201	0.11855777490644917	False	True
ACVR1B	35.0	11.0	11.0	6404.0	0.4732979387882573	0.4839194279883214	-0.01062148920006406	0.08897132312711109	0.12035366624971479	False	True
CALCB	15.0	7.0	11.0	897.0	0.5027870680044593	0.47459177276889125	0.02819529523556802	0.09082139239581787	0.1226700262261119	False	True
ENSG00000288785	21.0	8.0	11.0	1546.0	0.44954721862871927	0.47083412476058134	-0.02128690613186207	0.0935769576725969	0.12608238940257888	False	True
ENSG00000272631	25.0	8.0	11.0	2521.0	0.5109083696945657	0.4942445599702527	0.016663809724312972	0.09423362575052383	0.12688491407693703	False	True
SHISA2	14.0	10.0	11.0	1445.0	0.501038062283737	0.4791374093206894	0.021900652963047662	0.09561841544823933	0.12857831418904092	False	True
SLC40A1	18.0	8.0	11.0	3675.0	0.5044897959183674	0.49078174086538157	0.013708055052985835	0.09645346283334441	0.12964063339833967	False	True
ENSG00000270012	14.0	7.0	11.0	647.0	0.45440494590417313	0.48684655462402127	-0.032441608719848136	0.09874806559004526	0.13241081152748965	False	True
CBX4	22.0	10.0	11.0	2296.0	0.4586236933797909	0.47581501675452276	-0.017191323374731837	0.09905957100440631	0.1327904356393487	False	True
PCYOX1L	20.0	9.0	11.0	1256.0	0.5047770700636943	0.48222906837455803	0.022548001689136288	0.10977243082941168	0.1457102742215361	False	True
ENSG00000227218	17.0	9.0	11.0	1497.0	0.5063460253841016	0.4857241218508633	0.020621903533238284	0.11039539988193517	0.14645925418702943	False	True
TMEM236	16.0	6.0	11.0	1048.0	0.4685114503816794	0.4930016304268606	-0.02449018004518122	0.11278738137875223	0.14928328407690727	False	True
ENSG00000285928	14.0	6.0	11.0	606.0	0.528052805280528	0.4963721929536359	0.03168061232689212	0.11880512183421801	0.15641273913323012	False	True
STAM2	25.0	9.0	11.0	6853.0	0.48475120385232745	0.49415417672863315	-0.009402972876305704	0.11949038929610041	0.15723746757336887	False	True
TOGARAM1	43.0	13.0	11.0	21518.0	0.4982805093410168	0.49299376230170394	0.005286747039312867	0.120858620113265	0.15884239396999472	False	True
C21orf91-OT1	28.0	9.0	11.0	2278.0	0.4618086040386304	0.4780363976710166	-0.01622779363238619	0.12100958948012366	0.15901846692887142	False	True
KCTD3	36.0	10.0	11.0	8767.0	0.5006273525721455	0.49240479629453643	0.008222556277609094	0.12356748883108572	0.16204968785892296	False	True
ENSG00000275601	19.0	11.0	11.0	2285.0	0.5032822757111597	0.4872273076759228	0.016054968035236872	0.12468321172246288	0.16333656744847955	False	True
LINC00265	27.0	9.0	11.0	3154.0	0.5	0.4865815935221016	0.013418406477898381	0.13162839399013423	0.17151481371947036	False	True
ENSG00000255340	18.0	7.0	11.0	1447.0	0.44644091223220456	0.4660694916478539	-0.019628579415649328	0.13445279291744078	0.1748783719323523	False	True
DEDD	27.0	10.0	11.0	3248.0	0.5027709359605911	0.48967515481379287	0.013095781146798213	0.1354351888952568	0.17601540840307178	False	True
CCDC80	28.0	10.0	11.0	19352.0	0.4882182720132286	0.49355960153329914	-0.005341329520070548	0.13722526035753232	0.17810674424244882	False	True
PMFBP1	25.0	10.0	11.0	3163.0	0.4969965222889662	0.483878871681254	0.013117650607712195	0.13987533565456328	0.18123824918671164	False	True
SLC47A2	27.0	12.0	11.0	1674.0	0.5077658303464755	0.4897674878405088	0.017998342505966713	0.14072501613573457	0.1822319066458488	False	True
SMPD4	25.0	9.0	11.0	6165.0	0.4997566909975669	0.49038279738789714	0.009373893609669781	0.1409393385472094	0.18247786531053495	False	True
ENSG00000290368	14.0	5.0	11.0	835.0	0.518562874251497	0.493135216905646	0.025427657345851062	0.14165051795409048	0.18327814535575251	False	True
CDK2	21.0	8.0	11.0	1736.0	0.4608294930875576	0.47832753315523974	-0.01749804006768213	0.14442890880795545	0.18650540564125262	False	True
ENSG00000238246	25.0	8.0	11.0	2602.0	0.4665641813989239	0.4808373187886042	-0.01427313738968028	0.14505829818508498	0.18720185660164715	False	True
ZNF839	35.0	13.0	11.0	7530.0	0.48300132802124834	0.49125225351819624	-0.008250925496947892	0.15209323672882782	0.19536420118817263	False	True
CYP4F12	18.0	5.0	11.0	1393.0	0.49820531227566406	0.4790988117614506	0.019106500514213476	0.15344494188396135	0.1969584720089339	False	True
